Month,Day,Year,altitude,grossWeight,totalAirTemperatureCelsius,CAS,mach,fmcMach,tempDevC,windKts,turbulence,regime,phase,targetAltitude,tail,selectedFuelFlow1,selectedFuelFlow2
1,1,2024,37216.40077659879,73482.78709591272,-31.490878132600955,249.31122192899394,0.8216185889621149,0.8214723021108626,-1.1734890970563052,18.91906695396806,0.19845768895169663,0.0,2.0,22999.617778662545,Tail_15,5284.270401397277,5242.570375706023
1,1,2024,36410.04042107512,62594.09212948743,-31.109704778046563,256.37938340544645,0.8288349140662704,0.825278551462991,-1.245373582127554,17.920194258494387,0.058524063892355954,0.0,1.0,36174.82135442825,Tail_15,5085.748200448767,5126.0276866478425
1,1,2024,35715.64917958598,68155.68502139709,-31.106158477486673,259.12071577350054,0.8248062374852907,0.8300676364980223,-1.7522458170206447,17.385519686385198,0.03822077118492297,0.0,0.0,37302.74882672311,Tail_15,5233.902808363765,5223.5517113033475
1,1,2024,33219.08152968016,76105.66060907269,-28.28858238900594,261.65573389195674,0.7853268745018659,0.790074593057977,-1.9415979341248208,16.272111913468464,0.0,0.0,1.0,33652.52899322955,Tail_15,4764.469966149094,4711.74923251511
1,1,2024,30293.87422444088,62397.138399968135,-25.446069218593323,259.3236278282421,0.7273947770493799,0.7214459739936274,-1.9674156989260356,19.64383857526912,0.1446638259210681,0.0,0.0,36610.03678797469,Tail_15,3904.007181802683,3977.9628978179517
1,1,2024,38280.681696124426,63399.50744459702,-33.35879034010836,236.9192696954427,0.8020706402504517,0.7991429221800567,-1.7442557666796754,20.085005269029736,0.15087402392002927,0.0,1.0,38768.676021255174,Tail_15,4240.988050779122,4251.597370493983
1,1,2024,30653.85365153976,60734.793161884336,-22.74444955164904,276.9848937921511,0.7832749502045234,0.7812341815714076,-1.9160744581228872,17.88041843103502,0.18736975350513094,0.0,1.0,30592.11794672047,Tail_15,4198.85786583042,4167.7722013256325
1,1,2024,33148.02945525279,72052.72713933131,-25.158794773500375,278.7965920002035,0.8358479131094502,0.8365864755736605,-2.1884356357158428,13.87100800590878,0.2589657426572408,0.0,1.0,33418.25698606127,Tail_15,6014.164839214777,5969.6400621194425
1,1,2024,39478.823586490056,73640.35734585705,-37.33380413878402,214.17133373836057,0.7473381902395985,0.7430279290171159,-2.3753854091039255,8.473090157584034,0.2469339200901288,0.0,0.0,35594.310605376115,Tail_15,4668.41487038083,4719.396075826152
1,1,2024,38610.52054983576,75317.30285378532,-36.853204226769606,220.18305793031612,0.7521248885188486,0.7478036708464827,-2.1904478880325398,5.103864478401526,0.2527564048844284,0.0,1.0,38571.7361547448,Tail_15,4750.160708707251,4812.393245803815
1,1,2024,33785.11054551469,75092.50078855095,-29.321160370424877,258.93580747398056,0.7874449515806482,0.7878352023581743,-1.8679674552359056,4.086018635019345,0.21779592594198455,0.0,1.0,34215.03815173281,Tail_15,4710.230890979624,4745.137796158453
1,1,2024,31689.89439911954,67099.83606274636,-23.23842379585082,279.16367401007886,0.8081955670453402,0.8084576706989683,-1.7459515864270352,4.022928614997489,0.18419963750928423,0.0,1.0,32105.693613238855,Tail_15,4786.825146027671,4807.753160567116
1,1,2024,34284.55405972977,60862.72202616072,-29.37015436210865,257.7563962634363,0.7919023712675917,0.7817464869306369,-1.1722511601757228,5.5470763103037495,0.30047865613837244,0.0,1.0,34003.00380022628,Tail_15,4138.813377482413,4056.0832720257195
1,1,2024,30292.13872954743,64929.49623582663,-21.986404879122375,275.34684554410666,0.7710929952197899,0.783573328224183,-1.2536617014966345,6.151197830046194,0.23360499701757495,0.0,1.0,30305.523616246024,Tail_15,4265.581482228807,4260.355882339987
1,1,2024,39577.709730795716,71469.36769441009,-32.98762446834044,227.10374649344982,0.7914916647511862,0.7905654177798279,-0.8246576816255324,1.0888768828614612,0.2823143654322009,0.0,1.0,39969.44380018991,Tail_15,4524.6268144485375,4550.524781966793
1,1,2024,35420.11090791798,73935.43631977012,-32.36945966641076,246.30015218114985,0.7767241692942538,0.7723590196065987,-0.7811728524944342,1.8236292602784714,0.32957247389719635,0.0,2.0,24144.040742499696,Tail_15,4650.3290360741985,4653.913712065584
